date,coin,open,market_cap,volume
28/04/2013,bitcoin,135.3,1500520000,0
29/04/2013,bitcoin,134.44,1491160000,0
30/04/2013,bitcoin,144,1597780000,0
01/05/2013,bitcoin,139,1542820000,0
02/05/2013,bitcoin,116.38,1292190000,0
03/05/2013,bitcoin,106.25,1180070000,0
04/05/2013,bitcoin,98.1,1089890000,0
05/05/2013,bitcoin,112.9,1254760000,0
06/05/2013,bitcoin,115.98,1289470000,0
07/05/2013,bitcoin,112.25,1248470000,0
08/05/2013,bitcoin,109.6,1219450000,0
09/05/2013,bitcoin,113.2,1259980000,0
10/05/2013,bitcoin,112.8,1255970000,0
11/05/2013,bitcoin,117.7,1311050000,0
12/05/2013,bitcoin,115.64,1288630000,0
13/05/2013,bitcoin,114.82,1279980000,0
14/05/2013,bitcoin,117.98,1315720000,0
15/05/2013,bitcoin,111.4,1242760000,0
16/05/2013,bitcoin,114.22,1274620000,0
17/05/2013,bitcoin,118.21,1319590000,0
18/05/2013,bitcoin,123.5,1379140000,0
19/05/2013,bitcoin,123.21,1376370000,0
20/05/2013,bitcoin,122.5,1368910000,0
21/05/2013,bitcoin,122.02,1363940000,0
22/05/2013,bitcoin,122.89,1374130000,0
23/05/2013,bitcoin,123.8,1384780000,0
24/05/2013,bitcoin,126.3,1413300000,0
25/05/2013,bitcoin,133.1,1489950000,0
26/05/2013,bitcoin,131.99,1478030000,0
27/05/2013,bitcoin,133.5,1495520000,0
28/05/2013,bitcoin,129.77,1454310000,0
29/05/2013,bitcoin,129,1446190000,0
30/05/2013,bitcoin,132.25,1483180000,0
31/05/2013,bitcoin,128.8,1445050000,0
01/06/2013,bitcoin,128.81,1445800000,0
02/06/2013,bitcoin,129.3,1451930000,0
03/06/2013,bitcoin,122.5,1376180000,0
04/06/2013,bitcoin,120.74,1357020000,0
05/06/2013,bitcoin,121.4,1365110000,0
06/06/2013,bitcoin,121.9,1371300000,0
07/06/2013,bitcoin,118.97,1338880000,0
08/06/2013,bitcoin,111,1249630000,0
09/06/2013,bitcoin,107.89,1215130000,0
10/06/2013,bitcoin,100.44,1131570000,0
11/06/2013,bitcoin,106.35,1198640000,0
12/06/2013,bitcoin,109,1229000000,0
13/06/2013,bitcoin,108.78,1227030000,0
14/06/2013,bitcoin,103.95,1173060000,0
15/06/2013,bitcoin,100,1128950000,0
16/06/2013,bitcoin,99.8,1127120000,0
17/06/2013,bitcoin,99.9,1128720000,0
18/06/2013,bitcoin,101.95,1152250000,0
19/06/2013,bitcoin,107.05,1210260000,0
20/06/2013,bitcoin,108.25,1224210000,0
21/06/2013,bitcoin,111.29,1259000000,0
22/06/2013,bitcoin,109.5,1239210000,0
23/06/2013,bitcoin,108.2,1224980000,0
24/06/2013,bitcoin,107.9,1222030000,0
25/06/2013,bitcoin,102.09,1156610000,0
26/06/2013,bitcoin,103.33,1171050000,0
27/06/2013,bitcoin,104,1179110000,0
28/06/2013,bitcoin,101.74,1153880000,0
29/06/2013,bitcoin,94.66,1074010000,0
30/06/2013,bitcoin,95,1078260000,0
01/07/2013,bitcoin,97.51,1107130000,0
02/07/2013,bitcoin,88.05,1000070000,0
03/07/2013,bitcoin,90.41,1027160000,0
04/07/2013,bitcoin,78.89,896693000,0
05/07/2013,bitcoin,79.99,909526000,0
06/07/2013,bitcoin,68.5,779255000,0
07/07/2013,bitcoin,68.75,782352000,0
08/07/2013,bitcoin,76.5,870912000,0
09/07/2013,bitcoin,76,865585000,0
10/07/2013,bitcoin,76.72,874138000,0
11/07/2013,bitcoin,88,1003090000,0
12/07/2013,bitcoin,88.98,1014640000,0
13/07/2013,bitcoin,93.99,1072140000,0
14/07/2013,bitcoin,98.7,1126260000,0
15/07/2013,bitcoin,93.61,1068520000,0
16/07/2013,bitcoin,98.89,1129260000,0
17/07/2013,bitcoin,96.71,1104760000,0
18/07/2013,bitcoin,98.5,1125660000,0
19/07/2013,bitcoin,90.07,1029670000,0
20/07/2013,bitcoin,92,1052140000,0
21/07/2013,bitcoin,89.82,1027640000,0
22/07/2013,bitcoin,92,1053000000,0
23/07/2013,bitcoin,91.6,1048820000,0
24/07/2013,bitcoin,95.56,1094490000,0
25/07/2013,bitcoin,94.5,1082800000,0
26/07/2013,bitcoin,96.95,1111160000,0
27/07/2013,bitcoin,96.02,1100900000,0
28/07/2013,bitcoin,94.4,1082750000,0
29/07/2013,bitcoin,98.6,1131340000,0
30/07/2013,bitcoin,101.49,1164940000,0
31/07/2013,bitcoin,107.95,1239630000,0
01/08/2013,bitcoin,106.21,1220190000,0
02/08/2013,bitcoin,104.86,1205070000,0
03/08/2013,bitcoin,104.5,1201490000,0
04/08/2013,bitcoin,104.95,1207100000,0
05/08/2013,bitcoin,105.12,1209520000,0
06/08/2013,bitcoin,106.72,1228440000,0
07/08/2013,bitcoin,106.75,1229100000,0
08/08/2013,bitcoin,106.75,1229100000,0
09/08/2013,bitcoin,103.07,1187920000,0
10/08/2013,bitcoin,102.8,1185310000,0
11/08/2013,bitcoin,103,1188150000,0
12/08/2013,bitcoin,105,1211790000,0
13/08/2013,bitcoin,106.99,1235340000,0
